title,sector,year,status,adopted,tags,impact,datetime,link
Tilskud til elbiler og plug-in hybridbiler,Transport,2018,Ikke længere gældende,Nej,['Elbiler'],Nationale,04.01.2023,https://klimaraadet.dk/da/virkemiddel/tilskud-til-elbiler-og-plug-hybridbiler
Afskaffelse af minimumsgrænsen i registreringsafgift,Transport,2018,"Fulgt, derfor ikke længere gældende",Ja,['Elbiler'],Nationale,04.01.2023,https://klimaraadet.dk/da/virkemiddel/afskaffelse-af-minimumsgraensen-i-registreringsafgift
Permanent batterifradrag,Transport,2018,Ikke længere gældende,Nej,['Elbiler'],Nationale,04.01.2023,https://klimaraadet.dk/da/virkemiddel/permanent-batterifradrag
Stop for salg af fossile biler i 2030,Transport,2018,Gældende,Delvist,"['Elbiler', 'Fossile brændsler']",Både nationale og globale,12.04.2024,https://klimaraadet.dk/da/virkemiddel/stop-salg-af-fossile-biler-i-2030
Forbedret ladeinfrastruktur,Transport,2020,Gældende med modifikationer,Delvist,['Elbiler'],Nationale,12.04.2024,https://klimaraadet.dk/da/virkemiddel/forbedret-ladeinfrastruktur
Ingen forlængelse af processtrømordning for elbiler,Transport,2016,Gældende,Nej,['Elbiler'],Nationale,12.04.2024,https://klimaraadet.dk/da/virkemiddel/ingen-forlaengelse-af-processtroemordning-elbiler
Miljøzoner i byer,Transport,2020,"Fulgt, derfor ikke længere gældende",Ja,['Lastbiler'],Nationale,04.01.2023,https://klimaraadet.dk/da/virkemiddel/miljoezoner-i-byer
Højere afgift på diesel,Transport,2021,Gældende,Nej,"['Lastbiler', 'Fossile brændsler']",Både nationale og globale,12.04.2024,https://klimaraadet.dk/da/virkemiddel/hoejere-afgift-paa-diesel
Differentierede kørselsafgifter for lastbiler efter tid og sted,Transport,2021,Gældende,Delvist,['Lastbiler'],Nationale,30.03.2023,https://klimaraadet.dk/da/virkemiddel/differentierede-koerselsafgifter-lastbiler-efter-tid-og-sted
Passagerafgift på flyrejser,Transport,2019,"Fulgt, derfor ikke længere gældende",Ja,['Fly og skibe'],Globale,12.04.2024,https://klimaraadet.dk/da/virkemiddel/passagerafgift-paa-flyrejser
Udfasning af 1.-generationsbiobrændstoffer,Transport,2018,Gældende med modifikationer,Delvist,['Bioenergi'],Globale,31.08.2023,https://klimaraadet.dk/da/virkemiddel/udfasning-af-1-generationsbiobraendstoffer
Krav til virksomhederne om sortering og genanvendelse af plastaffald,Affald,2020,Ikke længere gældende,Delvist,['Plastik'],Både nationale og globale,04.01.2023,https://klimaraadet.dk/da/virkemiddel/krav-til-virksomhederne-om-sortering-og-genanvendelse-af-plastaffald
